aes,wmo,REP_DATE,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,sog,ffmc,dmc,dc,bui,isi,fwi,dsr,opts,calcstatus,Station,Distance,name,lon,lat,elev,ACQ_DATE,ATTK_DATE,CAUSE,CFS_ECOZ,CFS_NOTE1,CFS_NOTE2,CFS_REF_ID,DECADE,ECODISTRIC,ECOREGION,ECOZONE,FIRENAME,FIRE_ID,FIRE_TYPE,LATITUDE,LONGITUDE,MORE_INFO,OUT_DATE,PROTZONE,SIZE_HA,SRC_AGENCY,SRC_AGY2,fire_label,Month,Year
3072920,71940,5/31/19,20,8,46.1,7.4,7.4,130,1015.5,1.6,0,13,0,90.1,65.4,193.8,71,6.3,19.2,5.1,                          M=1:          ,1,CYQU,38.53901968,GRANDE+PRAIRIE+A,-118.883,55.183,669,6/1/20,,L,9, , ,AB-2019-GWF028,2010-2019,610,143,9, ,GWF028,Wildfire,54.665467,-118.52475, ,, ,0.01,AB,AB,1,5,2019
3026KNQ,71248,5/31/19,21.3,7.4,41,6.1,13.3,51,1016.2,3.4,0,1,0,91.1,23.9,81.5,27.6,6.8,12.2,2.3,                          M=1:          ,1,CWAV,23.68166307,SUNDRE+A,-114.683,51.783,1114,6/1/20,,L,9, , ,AB-2019-RWF027,2010-2019,628,145,9, ,RWF027,Wildfire,51.684867,-115.21155, ,, ,0.01,AB,AB,1,5,2019
1163842,71741,5/31/19,26.1,6.1,28,4.7,7.2,186,1013.3,19.2,0,5,0,93.8,78.2,330.3,98.2,9.2,29.6,10.9,                          M=1:          ,1,CZKA,11.04208604,KAMLOOPS+AUT,-120.45,50.7,345,5/5/20,,L,14, , ,BC-2019-2019-K20425,2010-2019,1006,209,14, ,2019-K20425,Fire,50.5915,-120.6344, ,, ,0.009,BC,BC,1,5,2019
1182289,71471,5/31/19,24,12,47.1,9.3,9.3,170,1013.4,2,0,1,0,90.2,79.3,371,103.3,7,25.1,8.2,                    IDW=R:M=1:          ,1,CYDQ,20.8643931,DAWSON+CREEK+A,-120.183,55.75,655,6/1/20,,L,9, , ,AB-2019-GWF027,2010-2019,618,145,9, ,GWF027,Wildfire,55.615667,-119.705067, ,, ,0.02,AB,AB,1,5,2019
3062239,71167,6/1/19,25,6,29.6,3.7,3.7,271,1008.3,14.5,1,0,0,88.8,63.8,286.7,82,4.3,15.7,3.6,                          M=1:          ,1,CYET,54.18435025,EDSON,-116.467,53.583,927,6/1/20,,L,9, , ,AB-2019-WWF035,2010-2019,618,145,9, ,WWF035,Wildfire,54.231083,-117.212563, ,, ,0.1,AB,AB,1,6,2019
4060983,71077,6/1/19,13,3.1,51,11.3,17.9,133,1017.7,24.1,0,1,0,88,62.9,146.2,62.9,5.7,16.6,3.9,                          M=1:          ,1,CWVT,89.58208578,BUFFALO+NARROWS+AUT,-108.417,55.833,440,4/3/20,,L,, , ,SK-2019-19BN-PARK,2010-2019,348,88,6,19BN-PARK,19BN-PARK,Wildfire,57.12605,-108.536033, ,6/6/19 0:00, ,11.4,SK,SK,1,6,2019
3065995,71369,6/1/19,22,11,49.8,16.7,27.8,80,1007.8,4.8,0,8,0,88.6,74.7,334,95.8,8.2,27,9.3,                          M=1:          ,1,CYZH,40.91423375,SLAVE+LAKE,-114.783,55.3,583,6/1/20,,L,9, , ,AB-2019-SWF084,2010-2019,613,139,9, ,SWF084,Wildfire,55.722017,-115.513183, ,, ,0.4,AB,AB,1,6,2019
3072723,71024,6/1/19,15.5,6.2,54,13.8,31.3,95,1006.5,16.5,1.8,0,0,76.1,55.9,64.1,55.4,1.6,5.3,0.5,                          M=1:          ,1,CXFV,13.53199222,FORT+VERMILION,-116.033,58.383,289,6/1/20,,L,9, , ,AB-2019-HWF068,2010-2019,607,142,9, ,HWF068,Wildfire,58.2057,-115.876467, ,, ,0.01,AB,AB,1,6,2019
1126146,71889,6/1/19,30,4,19.1,9.3,9.3,190,1009.5,24.1,1.2,0,0,93.3,73.1,502.6,107.2,10.9,34.3,14.2,                          M=1:          ,1,CYYF,18.23869379,PENTICTON+A,-119.6,49.467,344,5/5/20,,L,14, , ,BC-2019-2019-N60437,2010-2019,1008,209,14, ,2019-N60437,Fire,49.403,-119.2074, ,, ,11.2,BC,BC,1,6,2019
3064528,71255,6/1/19,11.1,5.1,67,11.5,18.3,113,1013.01,15,0.5,0,0,86,84.6,174.2,84.4,4.3,15.9,3.6,                          M=1:          ,1,CWMX,75.03276954,MILDRED+LAKE,-111.567,57.033,310,6/1/20,,L,9, , ,AB-2019-SWF085,2010-2019,608,142,9, ,SWF085,Wildfire,56.453617,-113.235233, ,, ,0.01,AB,AB,1,6,2019
3062660,71483,6/1/19,24.1,9.5,40.9,14.4,20.18641026,169,1008.15,9.7,0,7,0,89.7,59.8,112.9,59.6,8.5,21.6,6.3,           IDW=T:RH:WSD:R:M=1:          ,1,CPFB,33.42869482,FORT+ASSINIBOINE+AGCM,-114.767,54.417,676,6/1/20,,L,9, , ,AB-2019-SWF083,2010-2019,620,145,9, ,SWF083,Wildfire,54.8388,-115.173617, ,, ,0.01,AB,AB,1,6,2019
1128582,71115,6/1/19,29.2,3.1,19,5,10.3,289,1009.4,20.1,0,6,0,94.9,75.5,329.8,96,10.9,32.8,13.1,                          M=1:          ,1,CWJV,20.1507311,VERNON+AUTO,-119.2,50.217,482,5/5/20,,L,14, , ,BC-2019-2019-K40438,2010-2019,988,205,14, ,2019-K40438,Fire,50.4052,-118.8523, ,, ,2.1,BC,BC,1,6,2019
3073730,71542,6/1/19,18.2,8.1,52,33.1,20.18641026,91,1006.35,16.5,0,1,0,86.9,103.3,357.2,119.9,14.7,43.7,21.8,                          M=1:          ,1,CPLC,12.07643546,LA+CRETE+AGCM,-116.35,58.167,323,6/1/20,,L,9, , ,AB-2019-HWF069,2010-2019,586,138,9, ,HWF069,Wildfire,58.175297,-116.020127, ,, ,0.01,AB,AB,1,6,2019
3062660,71483,6/1/19,24.1,9.5,40.9,14.4,20.18641026,169,1008.15,9.7,0,7,0,89.7,59.8,112.9,59.6,8.5,21.6,6.3,           IDW=T:RH:WSD:R:M=1:          ,1,CPFB,10.63513047,FORT+ASSINIBOINE+AGCM,-114.767,54.417,676,6/1/20,,L,9, , ,AB-2019-WWF036,2010-2019,617,139,9, ,WWF036,Wildfire,54.440667,-115.02758, ,, ,0.04,AB,AB,1,6,2019
3075488,71246,6/2/19,18.4,0.2,29,13.2,23.8,254,1006.6,23.5,15.7,0,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1,                          M=1:          ,1,CWRD,27.47915349,RED+EARTH,-115.283,56.55,546,6/1/20,,L,9, , ,AB-2019-SWF092,2010-2019,604,139,9, ,SWF092,Wildfire,56.793067,-114.712533, ,, ,0.04,AB,AB,1,6,2019
3075488,71246,6/2/19,18.4,0.2,29,13.2,23.8,254,1006.6,23.5,15.7,0,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1,                          M=1:          ,1,CWRD,39.805178,RED+EARTH,-115.283,56.55,546,6/1/20,,L,9, , ,AB-2019-SWF095,2010-2019,604,139,9, ,SWF095,Wildfire,56.51595,-114.243717, ,, ,0.01,AB,AB,1,6,2019
3075488,71246,6/2/19,18.4,0.2,29,13.2,23.8,254,1006.6,23.5,15.7,0,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1,                          M=1:          ,1,CWRD,39.25053949,RED+EARTH,-115.283,56.55,546,6/1/20,,L,9, , ,AB-2019-SWF090,2010-2019,604,139,9, ,SWF090,Wildfire,56.565313,-114.256105, ,, ,215.7,AB,AB,1,6,2019
