lat,lng,reportDate,startDate,endDate,peakDate,duration,maxSize,aveSize,increaseSpreadRate,decreaseSpreadRate,movementDirection,movementDirectionNum,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,ffmc,dmc,dc,bui,isi,fwi,dsr
56.269217,-115.0087,Tue Jun 04 00:00:00 EDT 2019,Tue Jun 04 00:00:00 EDT 2019,Sat Jun 08 00:00:00 EDT 2019,Thu Jun 06 00:00:00 EDT 2019,4,30.912340800649428,11.303862267501694,1.7754020839963511,-0.6459841799099666,SE,3,15.7,3.7,45.0,10.2,18.1,260,1010.8,29.2,1.8,0,75.8,30.4,111.2,36.1,1.3,3.1,0.2
56.277245,-114.857855,Wed Jun 05 00:00:00 EDT 2019,Tue Jun 04 00:00:00 EDT 2019,Sat Jun 08 00:00:00 EDT 2019,Thu Jun 06 00:00:00 EDT 2019,4,30.912340800649428,11.303862267501694,1.7754020839963511,-0.6459841799099666,SE,3,13.4,2.8,49.0,9.9,18.4,317,1013.1,23.6,6.3,0,57.7,19.7,106.9,27.0,0.6,0.6,0.0
52.1544,-93.8397,Fri Jun 07 00:00:00 EDT 2019,Thu Jun 06 00:00:00 EDT 2019,Fri Jun 07 00:00:00 EDT 2019,Thu Jun 06 00:00:00 EDT 2019,1,0.9115877596894078,0.9115877596894078,NaN,NaN,NW,0,24.4,12.6,47.8,20.4,31.5,140,1008.4,24.0,0.0,1,88.4,32.6,152.1,42.5,9.5,19.8,5.4
56.530213,-115.468027,Fri Jun 07 00:00:00 EDT 2019,Tue Jun 04 00:00:00 EDT 2019,Sun Jun 23 00:00:00 EDT 2019,Mon Jun 17 00:00:00 EDT 2019,19,101.4977513551585,13.249050581513734,2.3748443541081055,0.24616414296327838,SE,3,11.6,-0.9,42.0,17.3,30.1,343,1014.9,20.0,0.0,1,84.0,23.7,117.9,31.5,4.4,9.2,1.4
56.941567,-117.591583,Sat Jun 08 00:00:00 EDT 2019,Sat Jun 08 00:00:00 EDT 2019,Wed Jun 19 00:00:00 EDT 2019,Mon Jun 17 00:00:00 EDT 2019,11,101.4977513551585,21.099352219844388,0.9597189900067463,-0.9909518368090002,NW,0,10.0,-2.6,41.0,17.6,20.18641026,343,1020.16,23.5,0.0,3,87.1,100.2,498.9,133.4,6.9,27.6,9.6
57.262233,-117.014517,Sat Jun 08 00:00:00 EDT 2019,Sat Jun 08 00:00:00 EDT 2019,Wed Jun 19 00:00:00 EDT 2019,Mon Jun 17 00:00:00 EDT 2019,11,101.4977513551585,21.099352219844388,0.9597189900067463,-0.9909518368090002,NW,0,9.2,-1.8,46.0,12.5,20.18641026,358,1020.01,22.7,0.0,3,85.4,57.6,180.2,64.0,4.2,13.3,2.7
56.99925,-118.466033,Wed Jun 12 00:00:00 EDT 2019,Sat Jun 08 00:00:00 EDT 2019,Wed Jun 19 00:00:00 EDT 2019,Mon Jun 17 00:00:00 EDT 2019,11,101.4977513551585,21.099352219844388,0.9597189900067463,-0.9909518368090002,NW,0,21.4,7.7,42.3,7.5,20.18641026,238,1015.06,19.5,0.0,1,85.0,86.1,519.4,121.7,3.1,14.8,3.2
56.3881,-115.891667,Wed Jun 12 00:00:00 EDT 2019,Tue Jun 04 00:00:00 EDT 2019,Wed Jun 19 00:00:00 EDT 2019,Mon Jun 17 00:00:00 EDT 2019,15,101.4977513551585,17.63291401563525,1.842015730630835,-0.9929555089600162,NE,1,20.9,7.8,44.0,7.6,20.18641026,235,1015.13,19.6,1.5,0,79.1,29.6,148.3,39.5,1.5,3.8,0.3
56.244733,-116.5677,Wed Jun 12 00:00:00 EDT 2019,Tue Jun 04 00:00:00 EDT 2019,Sat Jun 15 00:00:00 EDT 2019,Wed Jun 12 00:00:00 EDT 2019,11,60.07206316483174,11.330563654374282,1.1140636397961816,-0.6084844365283233,NW,0,20.3,9.0,49.0,7.1,20.18641026,230,1015.69,19.7,0.0,6,88.8,91.9,312.4,105.9,5.2,20.5,5.7
56.872867,-112.449067,Thu Jun 13 00:00:00 EDT 2019,Wed Jun 05 00:00:00 EDT 2019,Fri Jun 14 00:00:00 EDT 2019,Thu Jun 06 00:00:00 EDT 2019,9,30.912340800649428,6.976680805437192,NaN,3.943481914388266,SW,2,19.0,11.0,60.0,19.8,26.5,242,1004.6,15.0,0.6,0,87.0,52.0,217.2,65.1,7.5,20.8,5.9
